Program | Version
7zip | 22.1
7zip.install | 22.1
advanced-ip-scanner | 2.5.4594.1
angryip | 3.8.2
araxismerge | 2022.5757
autohotkey | 1.1.34.03
autohotkey.install | 1.1.34.03
brave | 1.42.97
chocolatey | 1.1.0
chocolatey-compatibility.extension | 1.0.0
chocolatey-core.extension | 1.4.0
chocolatey-dotnetfx.extension | 1.0.1
chocolatey-windowsupdate.extension | 1.0.4
chocolateygui | 1.0.0
dotnetfx | 4.8.0.20220524
easy.install | 0.6.11.4
ffmpeg | 5.1
fiddler | 5.0.20211.51073
gh | 2.14.4
GoogleChrome | 104.0.5112.102
googleearth | 7.1.8.30360001
iTunes | 12.12.4.1
KB2919355 | 1.0.20160915
KB2919442 | 1.0.20160915
KB2999226 | 1.0.20181019
KB3033929 | 1.0.5
KB3035131 | 1.0.3
microsoft-windows-terminal | 1.14.2281.0
nmap | 7.92.0.20220321
pasteboard | 1.1.0
picotorrent | 0.25.0
picotorrent.install | 0.25.0
pip | 1.2.0
pstools | 1.2012.04.12
putty | 0.77
putty.portable | 0.77
python | 3.10.6
python2 | 2.7.18
python3 | 3.10.6
scp | 5.0.0
screentogif | 2.37.0
screentogif.portable | 2.37.0
sysinternals | 2022.7.30
usbpcap | 1.5.4.0
vcredist140 | 14.32.31332
vcredist2010 | 10.0.40219.32503
vcredist2015 | 14.0.24215.20170201
vlc | 3.0.17.4
vlc.install | 3.0.17.4
Wget | 1.21.3
winscp | 5.21.2
winscp.install | 5.21.2
wireshark | 3.6.7
youtube-dl | 2021.12.17
